symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo
3,?,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,8.703703703703704,13495,False,True,True,False
3,?,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,8.703703703703704,16500,False,True,True,False
1,?,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,12.368421052631579,9.038461538461538,16500,False,True,True,False
2,164,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683265,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,9.791666666666666,7.833333333333333,13950,False,True,True,False
2,164,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,13.055555555555555,10.681818181818182,17450,False,True,True,False
2,?,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.368421052631579,9.4,15250,False,True,True,False
1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.368421052631579,9.4,17710,False,True,True,False
1,?,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.368421052631579,9.4,18920,False,True,True,False
1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.823529411764707,11.75,23875,False,True,False,True
0,?,audi,two,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,0.8695652173913044,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,14.6875,10.681818181818182,?,False,True,False,True
2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.217391304347826,8.10344827586207,16430,False,True,True,False
0,192,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.217391304347826,8.10344827586207,16925,False,True,True,False
0,188,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,8.392857142857142,20970,False,True,True,False
0,188,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,8.392857142857142,21105,False,True,True,False
1,?,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.75,9.4,24565,False,True,True,False
0,?,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,10.681818181818182,30760,False,True,True,False
0,?,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.9391424619640388,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,10.681818181818182,41315,False,True,True,False
0,?,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9806362378976488,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15.666666666666666,11.75,36880,False,True,True,False
2,121,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8340248962655602,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5.0,4.433962264150943,5151,False,True,True,False
1,98,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,5.465116279069767,6295,False,True,True,False
0,81,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.8796680497925312,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,5.465116279069767,6575,False,True,True,False
1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351351352,5.7317073170731705,5572,False,True,True,False
1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,6.184210526315789,6377,False,True,True,False
1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,7.833333333333333,7957,False,True,False,True
1,148,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,6.184210526315789,6229,False,True,True,False
1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,6.184210526315789,6692,False,True,True,False
1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,6.184210526315789,7609,False,True,True,False
1,148,dodge,?,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,7.833333333333333,8558,False,True,False,True
