color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Martin Scorsese,240,116866727.0,"Biography, Comedy, Crime, Drama",The Wolf of Wall Street,2013,English,USA,100000000.0,8.2,"Leonardo DiCaprio, Matthew McConaughey, Jon Favreau",138000
Color,Shane Black,195,408992272.0,"Action, Adventure, Sci-Fi",Iron Man 3,2013,English,USA,200000000.0,7.2,"Robert Downey Jr., Jon Favreau, Don Cheadle",95000
Color,Quentin Tarantino,187,54116191.0,"Crime, Drama, Mystery, Thriller, Western",The Hateful Eight,2015,English,USA,44000000.0,7.9,"Craig Stark, Jennifer Jason Leigh, Zoë Bell",114000
Color,Kenneth Lonergan,186,46495.0,Drama,Margaret,2011,English,usa,14000000.0,6.5,"Matt Damon, Kieran Culkin, John Gallagher Jr.",0
Color,Peter Jackson,186,258355354.0,"Adventure, Fantasy",The Hobbit: The Desolation of Smaug,2013,English,USA,225000000.0,7.9,"Aidan Turner, Adam Brown, James Nesbitt",83000
Color,Joss Whedon,173,623279547.0,"Action, Adventure, Sci-Fi",The Avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth, Robert Downey Jr., Scarlett Johansson",123000
Color,Joss Whedon,173,623279547.0,"Action, Adventure, Sci-Fi",The Avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth, Robert Downey Jr., Scarlett Johansson",123000
Color,Null,158,102515793.0,"Crime, Drama, Mystery, Thriller",The Girl with the Dragon Tattoo,2011,English,USA,90000000.0,7.8,"Robin Wright, Goran Visnjic, Joely Richardson",54000
Color,Christopher Nolan,169,187991439.0,"Adventure, Drama, Sci-Fi",Interstellar,2014,English,USA,165000000.0,8.6,"Matthew McConaughey, Anne Hathaway, Mackenzie Foy",349000
Color,F. Gary Gray,167,161029270.0,"Biography, Crime, Drama, History, Music",Straight Outta Compton,2015,English,USA,28000000.0,7.9,"Aldis Hodge, Neil Brown Jr., R. Marcos Taylor",76000
Color,Quentin Tarantino,580,162804648.0,"Drama, Western",Django Unchained,2012,English,USA,100000000.0,8.5,"Leonardo DiCaprio, Christoph Waltz, Ato Essandoh",199000
Color,Michael Bay,165,245428137.0,"Action, Adventure, Sci-Fi",Transformers: Age of Extinction,2014,English,USA,210000000.0,5.7,"Bingbing Li, Sophia Myles, Kelsey Grammer",56000
Color,Peter Jackson,164,255108370.0,"Adventure, Fantasy",The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250000000.0,7.5,"Aidan Turner, Adam Brown, James Nesbitt",65000
Color,Tom Hooper,158,148775460.0,"Drama, Musical, Romance",Les Misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman, Eddie Redmayne, Anne Hathaway",144000
Color,Tom Hooper,158,148775460.0,"Drama, Musical, Romance",Les Misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman, Eddie Redmayne, Anne Hathaway",144000
Color,Kathryn Bigelow,157,95720716.0,"Drama, History, Thriller",Zero Dark Thirty,2012,English,USA,40000000.0,7.4,"Jennifer Ehle, Harold Perrineau, Parker Sawyers",39000
Color,Ridley Scott,156,105219735.0,"Action, Adventure, Drama, History",Robin Hood,2010,English,USA,200000000.0,6.7,"Mark Addy, William Hurt, Scott Grimes",17000
